id|modulo|nivel|categoria|tipo|termino|pregunta|opcion_a|opcion_b|opcion_c|opcion_d|respuesta|explicacion|dificultad
001|Anatomía|1|Terminología básica|CONOCE|Miembro pélvico|¿Cuál es el término anatómico correcto para referirse a la extremidad posterior?|Pata trasera|Miembro pélvico|Pierna|Extremidad trasera|Miembro pélvico|En anatomía veterinaria se utiliza miembro pélvico para referirse a la extremidad posterior.|Básica
002|Anatomía|1|Terminología básica|CONOCE|Miembro torácico|¿Cuál es el término anatómico correcto para referirse a la extremidad anterior?|Pata delantera|Brazo|Miembro torácico|Extremidad frontal|Miembro torácico|En anatomía veterinaria se utiliza miembro torácico para referirse a la extremidad anterior.|Básica
003|Anatomía|2|Dirección anatómica|CONOCE|Craneal|¿Qué término indica una estructura ubicada hacia la cabeza?|Caudal|Craneal|Distal|Ventral|Craneal|Craneal indica una dirección hacia la cabeza.|Básica
004|Anatomía|2|Dirección anatómica|CONOCE|Caudal|¿Qué término indica una estructura ubicada hacia la cola?|Craneal|Dorsal|Caudal|Medial|Caudal|Caudal indica una dirección hacia la cola.|Básica
005|Anatomía|2|Dirección anatómica|CONOCE|Dorsal|¿Qué término describe una posición orientada hacia el dorso?|Ventral|Dorsal|Medial|Distal|Dorsal|Dorsal indica una posición hacia el dorso.|Básica
006|Anatomía|2|Dirección anatómica|CONOCE|Ventral|¿Qué término describe una posición orientada hacia la superficie ventral?|Ventral|Craneal|Lateral|Proximal|Ventral|Ventral indica una posición hacia la superficie ventral.|Básica
007|Anatomía|2|Dirección anatómica|CONOCE|Medial|¿Qué término indica una estructura más próxima al plano medio?|Lateral|Distal|Medial|Caudal|Medial|Medial indica proximidad al plano medio del cuerpo.|Básica
008|Anatomía|2|Dirección anatómica|CONOCE|Lateral|¿Qué término indica una estructura alejada del plano medio?|Medial|Lateral|Proximal|Craneal|Lateral|Lateral indica una posición alejada del plano medio.|Básica
009|Anatomía|2|Dirección anatómica|CONOCE|Proximal|¿Qué término indica una estructura más cercana al origen de un miembro?|Distal|Proximal|Caudal|Ventral|Proximal|Proximal indica cercanía al origen de un miembro.|Básica
010|Anatomía|2|Dirección anatómica|CONOCE|Distal|¿Qué término indica una estructura más alejada del origen de un miembro?|Proximal|Medial|Distal|Dorsal|Distal|Distal indica mayor alejamiento respecto al origen de un miembro.|Básica
011|Semiología|3|Sistema respiratorio|CONOCE|Taquipnea|¿Qué término describe un aumento de la frecuencia respiratoria?|Bradipnea|Apnea|Taquipnea|Eupnea|Taquipnea|Taquipnea describe un aumento de la frecuencia respiratoria.|Básica
012|Semiología|3|Sistema respiratorio|CONOCE|Bradipnea|¿Qué término describe una disminución de la frecuencia respiratoria?|Bradipnea|Taquipnea|Disnea|Apnea|Bradipnea|Bradipnea describe una disminución de la frecuencia respiratoria.|Básica
013|Semiología|3|Sistema respiratorio|CONOCE|Disnea|¿Qué término describe una respiración dificultosa?|Eupnea|Disnea|Apnea|Bradipnea|Disnea|Disnea describe dificultad respiratoria.|Básica
014|Semiología|3|Sistema respiratorio|CONOCE|Apnea|¿Qué término indica ausencia de respiración?|Taquipnea|Eupnea|Apnea|Disnea|Apnea|Apnea corresponde a la ausencia de respiración.|Básica
015|Semiología|3|Sistema respiratorio|IDENTIFICA|Taquipnea|Un canino presenta una frecuencia respiratoria mayor a la esperada. ¿Cómo debe describirse?|Bradipnea|Taquipnea|Apnea|Eupnea|Taquipnea|El aumento de la frecuencia respiratoria se denomina taquipnea.|Intermedia
016|Semiología|3|Sistema respiratorio|IDENTIFICA|Disnea|Un paciente presenta dificultad evidente para respirar. ¿Cuál es el término correcto?|Disnea|Taquipnea|Bradipnea|Eupnea|Disnea|La dificultad respiratoria se describe mediante el término disnea.|Intermedia
017|Anatomía|2|Aplicación anatómica|IDENTIFICA|Miembro pélvico|El estudiante escribe: El perro presenta una lesión en la pata trasera. ¿Cuál es la expresión apropiada?|Miembro pélvico|Miembro torácico|Región cervical|Región cefálica|Miembro pélvico|Miembro pélvico es el término anatómico apropiado para la extremidad posterior.|Intermedia
018|Anatomía|2|Aplicación anatómica|IDENTIFICA|Miembro torácico|El estudiante escribe: El perro tiene dolor en la pata delantera. ¿Cuál es la expresión apropiada?|Miembro pélvico|Miembro torácico|Región abdominal|Región pélvica|Miembro torácico|Miembro torácico es el término anatómico apropiado para la extremidad anterior.|Intermedia
019|Semiología|3|Redacción clínica|APLICA|Disnea|¿Cómo registrar que el paciente presenta dificultad respiratoria?|El animal respira mal|Tiene problemas para respirar|El paciente presenta disnea|Respira feo|El paciente presenta disnea|La terminología clínica precisa permite registrar el hallazgo como disnea.|Intermedia
020|Semiología|3|Redacción clínica|APLICA|Bradipnea|¿Cómo describir técnicamente una frecuencia respiratoria inferior a la esperada?|Respira lento|Presenta bradipnea|Respira poquito|Tiene respiración baja|Presenta bradipnea|La disminución de la frecuencia respiratoria se denomina bradipnea.|Intermedia
021|Anatomía|2|Redacción anatómica|APLICA|Miembro pélvico|¿Cuál es la redacción apropiada para una lesión localizada en la extremidad posterior derecha?|Lesión en la pata derecha|Lesión en la pata trasera|Lesión en el miembro pélvico derecho|Lesión atrás|Lesión en el miembro pélvico derecho|La descripción utiliza terminología anatómica precisa y especifica lateralidad.|Intermedia
022|Anatomía|2|Redacción anatómica|APLICA|Miembro torácico|¿Cuál es la redacción apropiada para una lesión localizada en la extremidad anterior izquierda?|Herida en la pata izquierda|Lesión en el miembro torácico izquierdo|Problema en la pata delantera|Dolor adelante|Lesión en el miembro torácico izquierdo|La descripción utiliza terminología anatómica precisa y especifica lateralidad.|Intermedia
